Year,Month,Day,Weekday,Start Time,Event Name,Venue
2013,08,25,日,16:00,Animelo Summer Live 2013 -FLAG NINE- 3日目,さいたまスーパーアリーナ
2013,07,28,日,16:00,『MF文庫J 夏の学園祭2013』「変態王子と笑わない猫。」スペシャルステージ,秋葉原UDX2F アキバ・スクエア(AKIBA SQUARE)
2013,06,30,日,14:00,「変態王子と笑わない猫。」 第1巻 発売記念イベント,アニメイト池袋本店
2013,03,31,日,16:00,アニメコンテンツエキスポ2013 REDステージ Program8 「変態王子と笑わない猫。」,幕張メッセ 国際展示場ホール
2013,03,17,日,12:30,ゆいかおり7thシングル「Shiny Blue」握手会・AKIHABARAゲーマーズ本店第1回,AKIHABARAゲーマーズ本店
2013,03,17,日,14:15,ゆいかおり7thシングル「Shiny Blue」握手会・AKIHABARAゲーマーズ本店第2回,AKIHABARAゲーマーズ本店
2013,03,17,日,16:00,ゆいかおり7thシングル「Shiny Blue」握手会・AKIHABARAゲーマーズ本店第3回,AKIHABARAゲーマーズ本店
2013,03,10,日,15:30,ゆいかおり7thシングル「Shiny Blue」握手会・アニメイト池袋本店,アニメイト池袋本店
2013,03,10,日,12:00,ゆいかおり7thシングル「Shiny Blue」握手会・廣瀬無線イベントホール（秋葉原）,廣瀬無線電機 イベントホール
2013,03,03,日,11:00,ゆいかおり7thシングル「Shiny Blue」握手会・アニメイト京都店,アニメイト京都
2013,03,03,日,14:30,ゆいかおり7thシングル「Shiny Blue」握手会・ゲーマーズなんば店,ゲーマーズなんば店
2013,03,03,日,19:00,ゆいかおり7thシングル「Shiny Blue」握手会・コミックとらのあな名古屋店,[初代]とらのあな名古屋店(閉店)
2013,02,10,日,11:10,ワンダーフェスティバル2013[冬] 『WONDERFUL HOBBY LIFE FOR YOU!! 17』ブース 「へんねこ ステージ」,幕張メッセ 国際展示場ホール
2012,12,24,月,12:15,【NHK FM】今日は一日“歌う声優”三昧,!_東京都内某所
2012,12,23,日,Start time not available,この中に1人、妹がいる！Vol.1 Blu-ray＆DVD発売記念イベント,科学技術館サイエンスホール
2012,12,02,日,18:30,ゆいかおり 1st LIVE TOUR「WAKE UP!! 」東京公演（夜）,Zepp DiverCity (TOKYO)
2012,12,02,日,14:00,ゆいかおり 1st LIVE TOUR「WAKE UP!! 」東京公演（昼）,Zepp DiverCity (TOKYO)
2012,11,25,日,18:00,ゆいかおり 1st LIVE TOUR「WAKE UP!! 」愛知公演,名古屋ボトムライン(THE BOTTOM LINE)
2012,11,18,日,18:00,ゆいかおり 1st LIVE TOUR「WAKE UP!! 」大阪公演,umeda AKASO (旧称)
2012,11,04,日,18:00,ゆいかおり　6thマキシシングル「ウェィカッ!!」発売記念イベント　廣瀬無線イベントホール【2回目】,廣瀬無線電機 イベントホール
2012,11,04,日,11:00,ゆいかおり　6thマキシ「ウェィカッ!!」発売記念握手会　とらのあな東京会場,廣瀬無線電機 イベントホール
2012,11,04,日,14:30,ゆいかおり　6thマキシシングル「ウェィカッ!!」発売記念イベント　廣瀬無線イベントホール【1回目】,廣瀬無線電機 イベントホール
2012,11,03,土,13:30,ゆいかおり　6thマキシ「ウェィカッ!!」発売記念　握手会　AKIHABARAゲーマーズ本店【1回目】,AKIHABARAゲーマーズ本店
2012,11,03,土,15:30,ゆいかおり　6thマキシ「ウェィカッ!!」発売記念　握手会　AKIHABARAゲーマーズ本店【2回目】,AKIHABARAゲーマーズ本店
2012,10,28,日,18:00,咲-Saki-フェス四角い宇宙でSquarePanic!（夜の部）,中野サンプラザホール(閉館)
2012,10,28,日,13:00,咲-Saki-フェス四角い宇宙でSquarePanic!（昼の部）,中野サンプラザホール(閉館)
2012,10,27,土,12:00,ゆいかおり　6thマキシ「ウェィカッ!!」発売記念　握手会　ゲーマーズなんば店,ゲーマーズなんば店
2012,10,27,土,17:30,ゆいかおり 6thマキシ「ウェィカッ!!」発売記念握手会　とらのあな名古屋会場,[初代]とらのあな名古屋店(閉店)
2012,09,23,日,12:00,ゆいかおり写真集「ゆいかおり」発売記念サイン会 コミックとらのあな秋葉原店イベントフロア 第1部,とらのあな秋葉原店 旧イベントフロア(閉鎖)
2012,09,23,日,18:00,ゆいかおり写真集「ゆいかおり」発売記念サイン会 アニメイト秋葉原店 第2回,アニメイト秋葉原1号館
2012,09,23,日,16:30,ゆいかおり写真集「ゆいかおり」発売記念サイン会 アニメイト秋葉原店 第1回,アニメイト秋葉原1号館
2012,09,23,日,14:30,ゆいかおり写真集「ゆいかおり」発売記念サイン会 コミックとらのあな秋葉原店イベントフロア 第2部,とらのあな秋葉原店 旧イベントフロア(閉鎖)
2012,09,22,土,Start time not available,ゆいかおり写真集「ゆいかおり」発売記念サイン会 AKIHABARAゲーマーズ本店 第1部,AKIHABARAゲーマーズ本店
2012,09,22,土,Start time not available,ゆいかおり写真集「ゆいかおり」発売記念サイン会 AKIHABARAゲーマーズ本店 第2部,AKIHABARAゲーマーズ本店
2012,09,22,土,Start time not available,ゆいかおり写真集「ゆいかおり」発売記念サイン会 AKIHABARAゲーマーズ本店 第3部,AKIHABARAゲーマーズ本店
2012,09,01,土,17:30,Brand-new Style volume two "Crazy Romance",Zepp Tokyo(閉館)
2012,08,25,土,16:00,Animelo Summer Live 2012 -INFINITY∞- 1日目,さいたまスーパーアリーナ
2012,08,18,土,14:00,TBSアニメフェスタ2012,文京シビックホール 大ホール
2012,07,29,日,13:45,「MF文庫J　夏の学園祭」内「この中に1人、妹がいる！ ステージ」,秋葉原UDX2F アキバ・スクエア(AKIBA SQUARE)
2012,07,16,月,19:00,アニメ放送開始記念イベント「このイベントの中に1人、妹がいる！？」,横浜BLITZ(閉館)
2012,05,27,日,19:00,Brand-new Style volume one SIDE-B “PARTY RUSH”,新宿FACE
2012,05,16,水,18:30,Brand-new Style volume one SIDE-A “MIRACLE PARTY”,池袋サンシャインシティ アルパB1F 噴水広場
2012,05,06,日,18:30,ゆいかおり 2nd LIVE「YELL for YOU」 NIGHT ～夢見る君へ～,恵比寿LIQUIDROOM(リキッドルーム)
2012,05,06,日,14:00,ゆいかおり 2nd LIVE「YELL for YOU」 DAY ～頑張る君へ～,恵比寿LIQUIDROOM(リキッドルーム)
2012,04,08,日,14:00,ゆいかおり5thシングル「君のYELL」キャンペーンイベント 追加イベント,東京総合美容専門学校(TSBS) マルチホール
